# L-BFGS iteration log for spe1_zone_LBFGS.jl
label,iter,loss,grad_norm,step,ls_iter,ls_flag
# section,hierarchical clustering — refinement 1
hierarchical clustering — refinement 1,0,7.6855493131697896e+00,1.4500000000000000e+00,NaN,NaN,NaN
hierarchical clustering — refinement 1,1,7.6137780861369837e+00,1.4500000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 1,2,7.3982930201057515e+00,1.2080307684309426e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 1,3,7.3824275449953385e+00,3.5422362946179298e-01,1.0000000000000000e+00,1.0000000000000000e+00,-1.0000000000000000e+00
hierarchical clustering — refinement 1,4,7.3824275449953385e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
hierarchical clustering — refinement 1,summary,7.3824275449953385e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,projected gradient norm 0.000e+00 < grad_tol 1.000e-06
# section,hierarchical clustering — refinement 2
hierarchical clustering — refinement 2,0,9.9604928594105124e-01,2.1749999999999998e+00,NaN,NaN,NaN
hierarchical clustering — refinement 2,1,8.7227373488910143e-01,1.5824673450674880e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 2,2,7.0896065754934134e-01,1.1741087510884458e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 2,3,5.7217939788785165e-02,1.1386101106559470e+00,8.8014992819028148e-01,3.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 2,4,5.5923457336156814e-02,4.4137993854759749e-01,8.9894333668731619e-02,2.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 2,5,5.3749890354948961e-02,9.2273759455690371e-02,5.4881444848357956e+00,2.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 2,6,4.8654483428337919e-02,1.6988978695584137e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 2,7,3.5149522969425785e-02,4.0406866311605882e-01,3.7602162329429645e-01,3.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 2,8,2.4670258486854387e-02,1.0630023074300410e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 2,9,1.5290516966742929e-02,1.2947454720414029e+00,2.9575367503173389e-01,2.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 2,10,1.5288273210877286e-02,1.3518657161926174e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 2,11,1.5271814226077055e-02,4.3819834507377149e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 2,12,1.5271556509394059e-02,7.3823479622209202e-03,1.9569270733117691e-01,2.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 2,summary,1.5271556509394059e-02,7.3823479622209202e-03,2.5771668299597039e-07,1.6875600259701099e-05,|Δloss| 2.577e-07 < obj_change_tol 1.000e-06
# section,hierarchical clustering — refinement 3
hierarchical clustering — refinement 3,0,1.5612936944792331e+00,9.2331515719839030e-01,NaN,NaN,NaN
hierarchical clustering — refinement 3,1,1.5027909450680701e+00,6.5764480440522999e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 3,2,1.3018308146623576e+00,5.6189092770412097e-01,7.3338512617036278e-01,2.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 3,3,1.3004680026317479e+00,2.9603901160529617e-01,1.6740587764426485e-02,2.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 3,4,1.2968587288184732e+00,2.2332540832798262e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 3,5,1.2957531477489972e+00,9.2460873544243705e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 3,6,1.2766840006854174e+00,8.7722256828912215e-02,3.1148914213919596e+01,4.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 3,7,1.2592591628285783e+00,9.8094978745736883e-01,3.0345268157419647e-01,4.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 3,8,1.1611568423647558e+00,1.3927048543729934e+00,1.0000000000000000e+00,1.0000000000000000e+00,-1.0000000000000000e+00
hierarchical clustering — refinement 3,9,1.0760679968834106e+00,2.6947010444067714e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 3,10,8.2270700862854496e-01,1.0603973812242184e+00,1.3184741883224080e+00,3.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 3,11,8.2131071813199630e-01,4.3131300424617924e-01,2.5234164598787684e-01,2.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 3,12,8.1439674634283610e-01,5.5654450714082926e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 3,13,8.0854879269737523e-01,5.9458924435175098e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 3,14,8.0717686254268195e-01,2.6005117986837117e-01,9.2469668031428878e-02,3.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 3,15,8.0688463675151301e-01,2.3281445849575910e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 3,16,8.0659597155982499e-01,2.2728436888803888e-01,6.0625150298084629e-01,2.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 3,17,8.0653001198180274e-01,9.6198175737940081e-02,1.0812068215188300e-01,2.0000000000000000e+00,1.0000000000000000e+00
