# L-BFGS iteration log for spe1_zone_LBFGS.jl
label,iter,loss,grad_norm,step,ls_iter,ls_flag
# section,medium_uncons — refinement 1
medium_uncons — refinement 1,0,7.6855493131697896e+00,1.4500000000000000e+00,NaN,NaN,NaN
medium_uncons — refinement 1,1,7.6137780861369837e+00,1.4500000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 1,2,7.3982930201057515e+00,1.2080307684309426e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 1,3,7.3824275449953385e+00,3.5422362946179298e-01,1.0000000000000000e+00,1.0000000000000000e+00,-1.0000000000000000e+00
medium_uncons — refinement 1,4,7.3824275449953385e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
medium_uncons — refinement 1,summary,7.3824275449953385e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,projected gradient norm 0.000e+00 < grad_tol 1.000e-06
# section,medium_uncons — refinement 2
medium_uncons — refinement 2,0,9.0151453695054162e-01,2.1749999999999998e+00,NaN,NaN,NaN
medium_uncons — refinement 2,1,7.7510744930630893e-01,1.5782999283227865e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 2,2,1.3212631839131514e-01,1.1975982196392447e+00,2.8654372412396110e+00,3.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 2,3,1.1618139243762045e-01,6.6569707762854913e-01,5.8422226860206550e-01,2.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 2,4,1.1451651391984105e-01,1.0523116637997945e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 2,5,3.8488968215445389e-02,1.6486593326421586e-01,1.0255675873840408e+01,5.0000000000000000e+00,-2.0000000000000000e+00
medium_uncons — refinement 2,6,1.8994503777595814e-02,1.3239142680680416e+00,5.8329850779564751e-01,2.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 2,7,1.2517603541827068e-02,2.3724238161758690e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 2,8,1.0145250156404910e-02,5.2005578336756897e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 2,9,9.6473795749744875e-03,1.3305034561734991e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 2,10,9.5950349918396544e-03,8.4749533874173291e-02,4.8089595768152159e-02,2.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 2,11,9.5471720893949077e-03,1.2096929537249505e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 2,12,9.5051794675101754e-03,1.0816611615474543e-02,1.8987356011736549e+00,3.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 2,13,9.5050170458783664e-03,6.6359314651516198e-03,2.3067449220795403e-02,2.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 2,summary,9.5050170458783664e-03,6.6359314651516198e-03,1.6242163180905933e-07,1.7087989534904596e-05,|Δloss| 1.624e-07 < obj_change_tol 1.000e-06
# section,medium_uncons — refinement 3
medium_uncons — refinement 3,0,9.7991545178453016e-02,7.9893054488645276e-01,NaN,NaN,NaN
medium_uncons — refinement 3,1,5.3455153378213327e-02,5.5200479297802352e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 3,2,2.4327916594019457e-02,3.4739508649082440e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 3,3,2.1819366336750079e-02,2.6250696752555935e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 3,4,1.9695534557674609e-02,2.7709462081081931e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 3,5,1.9557029503568395e-02,5.9402395563696773e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 3,6,1.9167892264952684e-02,2.3970182100780012e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 3,7,1.9082607517707739e-02,2.0420610917731105e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
medium_uncons — refinement 3,8,1.8929167808276481e-02,1.4470702706500917e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
