# L-BFGS iteration log for spe1_zone_LBFGS.jl
label,iter,loss,grad_norm,step,ls_iter,ls_flag
# section,sign_uncons — refinement 1
sign_uncons — refinement 1,0,7.6855702581224614e+00,1.4500000000000000e+00,NaN,NaN,NaN
sign_uncons — refinement 1,1,7.6137534696024369e+00,1.4500000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 1,2,7.3992097393740721e+00,1.2079918497723436e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 1,3,7.3817878664337560e+00,3.7661282041116201e-01,1.0000000000000000e+00,1.0000000000000000e+00,-1.0000000000000000e+00
sign_uncons — refinement 1,4,7.3817878664337560e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
sign_uncons — refinement 1,summary,7.3817878664337560e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,projected gradient norm 0.000e+00 < grad_tol 1.000e-06
# section,sign_uncons — refinement 2
sign_uncons — refinement 2,0,8.7427455490581385e-01,2.1749999999999994e+00,NaN,NaN,NaN
sign_uncons — refinement 2,1,7.4446142496812118e-01,1.5763420494541063e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 2,2,2.4388770913310062e-01,1.2112335235415295e+00,3.3376131337603008e+00,2.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 2,3,2.1398052548229674e-01,1.3528032165948427e+00,8.5784295746948985e-02,3.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 2,4,2.1297995897929484e-01,4.1896003954688227e-01,2.9244346315808051e-01,2.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 2,5,2.1275432476505060e-01,1.8863182435207224e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 2,6,2.1198658521423064e-01,1.1795495544999512e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_uncons — refinement 2,7,2.1049534652895696e-01,2.3124976096616753e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
