time_days,grat_truth_day,grat_matched_day,orat_truth_day,orat_matched_day,wrat_truth_day,wrat_matched_day
31.0,699303.3915365876,698887.9630638872,3179.74589856,3179.74589856,4.337275506178466e-6,4.3487937704358965e-6
59.0,702438.9402016066,701726.9496644606,3179.74589856,3179.74589856,4.744904993200307e-6,4.8487845860241555e-6
90.0,694817.7411832988,691892.0819076663,3179.74589856,3179.74589856,4.700998309021533e-6,4.870212695111832e-6
120.0,694988.5463651174,689871.7733319622,3179.74589856,3179.74589856,4.456225477607719e-6,4.64927972061099e-6
151.0,705847.6217192963,698052.0988244204,3179.74589856,3179.74589856,4.157450453959567e-6,4.371002725184038e-6
181.0,716814.9265276399,708620.5002682123,3179.74589856,3179.74589856,3.857742039287659e-6,4.080820034581498e-6
212.0,721583.1355341591,719893.1736218443,3179.74589856,3179.74589856,3.526106704742628e-6,3.766346998313213e-6
243.0,721989.8858099472,719832.2955064151,3179.74589856,3179.74589856,3.191720983111178e-6,3.4135636565089276e-6
273.0,723294.7879074116,720685.3836422346,3179.74589856,3179.74589856,2.8835560131854153e-6,3.096965974106928e-6
304.0,725086.752335798,722457.8110372252,3179.74589856,3179.74589856,2.545272274097202e-6,2.77333747070317e-6
334.0,726441.9602680514,724887.4672850063,3179.74589856,3179.74589856,2.2061464218641478e-6,2.4650211182184463e-6
365.0,727171.4875572101,727199.3442759454,3179.74589856,3179.74589856,1.8782876038768243e-6,2.09996804758325e-6
396.0,727282.6562528949,728711.1144529275,3179.74589856,3179.74589856,1.5591710616220053e-6,1.7610707774812603e-6
424.0,726992.0286789348,729355.0278863811,3179.74589856,3179.74589856,1.2723629858033197e-6,1.465524388724225e-6
455.0,726360.2943935486,729333.0104171343,3179.74589856,3179.74589856,9.529436918497402e-7,1.1469140460226565e-6
485.0,725591.2390133418,728817.4988473787,3179.74589856,3179.74589856,6.44635322905388e-7,8.415841089288105e-7
516.0,724737.6647593566,727960.7638919376,3179.74589856,3179.74589856,3.272977690182233e-7,5.254447470800988e-7
546.0,723924.666581088,726978.2184281924,3179.74589856,3179.74589856,1.8125479141847534e-8,2.1566614993731287e-7
577.0,723144.5379415993,725919.1186142749,3179.74589856,3179.74589856,5.328394660924749e-13,6.351987908002881e-12
608.0,722448.6561918586,724895.443642893,3179.74589856,3179.74589856,2.592450914525094e-17,1.8901636029530902e-16
638.0,721862.9100713361,723981.7476335804,3179.74589856,3179.74589856,1.6582090798029232e-20,3.386649696245872e-17
669.0,721351.457047872,723144.4542052492,3179.74589856,3179.74589856,7.491237882165296e-18,1.1556930820263816e-16
699.0,720939.73484849,722442.9809806315,3179.74589856,3179.74589856,6.372621867358673e-16,3.72900246085181e-17
730.0,720596.031751723,721834.9675565755,3179.74589856,3179.74589856,1.072945722107164e-17,0.0
761.0,720327.4547651182,721341.109936238,3179.74589856,3179.74589856,0.0,1.6412837558863465e-17
789.0,720143.1280647794,720987.1925679025,3179.74589856,3179.74589856,2.970479062538807e-18,8.359040483248182e-18
820.0,720011.8858494919,720714.5891914943,3179.74589856,3179.74589856,6.94241684969253e-17,7.390713693447086e-18
850.0,719962.9740679549,720581.4003219424,3179.74589856,3179.74589856,1.2039770950275352e-16,0.0
881.0,720023.6119050459,720630.554576729,3179.74589856,3179.74589856,9.000926466446867e-17,1.1643582912405183e-18
911.0,720238.1888701458,720931.0711543489,3179.74589856,3179.74589856,0.0,1.0673267791303304e-17
942.0,720739.472182342,721657.5032435303,3179.74589856,3179.74589856,1.5113281589972787e-16,0.0
973.0,721719.0967385735,723047.5536677435,3179.74589856,3179.74589856,0.0,1.564547485069457e-18
1003.0,723425.4803190137,725389.1788485624,3179.74589856,3179.74589856,0.0,4.122124210533207e-18
1034.0,726613.1795809915,729586.8841933706,3179.74589856,3179.74589856,0.0,0.0
1064.0,732267.6206955503,736700.0364533317,3179.74589856,3179.74589856,0.0,0.0
1095.0,743729.2963396559,750295.5826401091,3179.74589856,3179.74589856,2.815944669524653e-18,3.448893651015256e-18
1126.0,763749.9369152543,772180.0492714641,3179.74589856,3179.74589856,0.0,5.727248659100876e-17
1154.0,787377.7699372503,795202.3728799557,3179.74589856,3179.74589856,0.0,0.0
1185.0,830991.1419007634,845032.6224128657,3179.74589856,3179.74589856,0.0,0.0
1215.0,874906.8142085647,887308.2336257824,3179.74589856,3179.74589856,0.0,0.0
1246.0,1.0520979768635666e6,1.0997209909021878e6,3179.74589856,3179.74589856,1.2071198583436026e-18,2.921340739859078e-18
1276.0,1.3393006677130351e6,1.5747118381679282e6,3179.74589856,3179.74589856,3.3679454061996896e-19,9.279236387346032e-17
1307.0,2.214161819761661e6,2.6872863733549295e6,3179.74589856,3179.74589856,4.472919394357953e-24,2.2971763790671196e-21
1338.0,2.9823140211277176e6,3.3121075258041727e6,3179.74589856,3179.74589856,6.11665522841215e-29,2.4232972473947855e-26
1368.0,3.280012535602033e6,3.575641914586561e6,3179.74589856,3179.74589856,5.505031252466545e-34,1.7958041419499577e-31
1399.0,3.575430596102852e6,3.8163864057561117e6,3179.74589856,3179.74589856,3.9261766896277005e-39,1.0591921370241411e-36
1429.0,3.89241404132386e6,4.065407255893713e6,3179.74589856,3179.74589856,2.3579758294910217e-44,5.315053120128821e-42
1460.0,4.1821423334143064e6,4.321479297451422e6,3179.74589856,3179.74589856,1.0788663561679231e-49,2.064467831897312e-47
1491.0,4.430810972833338e6,4.543136284652274e6,3179.74589856,3163.391144261917,3.7884047286095806e-55,1.3286064392130909e-6
1519.0,4.530736671710065e6,4.475199827956581e6,3137.2644615097024,3045.0043634448866,3.8611947730241276e-7,2.0003063693264794e-6
1550.0,4.457744146469193e6,4.422540642152094e6,3015.1630809822836,2925.6070190512114,1.1149766560707628e-6,2.595673551537766e-6
1580.0,4.4204374491066e6,4.3767232323921295e6,2888.8741687076094,2817.673110900725,1.6881519902349872e-6,3.114015928234568e-6
1611.0,4.381445040790046e6,4.328712015407044e6,2765.4131664737806,2713.932488577739,2.24683641158351e-6,3.6160649860957908e-6
1641.0,4.334866077914864e6,4.2819508582604425e6,2663.954659109699,2621.7772502524053,2.7548072610158732e-6,4.067108739802881e-6
1672.0,4.283211622904588e6,4.231063423623175e6,2570.526393935444,2534.953884610524,3.2465587526196066e-6,4.507187844859718e-6
1703.0,4.230530107532732e6,4.178837047870173e6,2485.6933346631113,2457.092324659996,3.7047828740230016e-6,4.915872776578948e-6
1733.0,4.179810463707261e6,4.128716030528465e6,2410.6260457659805,2388.761458338162,4.116151158092137e-6,5.280850142372286e-6
1764.0,4.128508383099497e6,4.0745590925056934e6,2339.36924685036,2329.2383349609577,4.509038997042556e-6,5.627164418558734e-6
1794.0,4.0876186212531123e6,4.026459378536078e6,2278.6463675508307,2276.08024510683,4.874008068615658e-6,5.944237543793544e-6
1825.0,4.053726058422236e6,3.987921729282848e6,2222.69722708415,2226.075309245045,5.2402038235020875e-6,6.268443200145745e-6
1856.0,4.0190853878180776e6,3.950421336135362e6,2171.165743932853,2178.3027846418368,5.576389631725256e-6,6.5711149890267854e-6
1884.0,3.9891162656916394e6,3.9311208792072046e6,2127.365909897886,2130.776748774109,5.856122148215396e-6,6.826182493284627e-6
1915.0,3.956270504913377e6,3.907956222751097e6,2081.663400735794,2081.122293960742,6.1442241773865955e-6,7.091781379482018e-6
1945.0,3.9248214141574493e6,3.881045681333998e6,2040.2358907327464,2037.6075526917534,6.402324445454862e-6,7.328091047924448e-6
1976.0,3.8928970524582933e6,3.85173814165655e6,1999.7690911318393,1994.9502786455585,6.650601172612525e-6,7.551588504981362e-6
2006.0,3.862572955599397e6,3.8243365877441973e6,1962.5939472942202,1956.7896179892948,6.874992586933876e-6,7.748871545532571e-6
2037.0,3.825953291408337e6,3.789205074697305e6,1928.7966174041405,1923.9345341948288,7.088338999778793e-6,7.935225885773763e-6
2068.0,3.790332154974679e6,3.758006918594283e6,1895.8699968014648,1891.7791184960975,7.285051064641472e-6,8.107815745122774e-6
2098.0,3.7587347153070625e6,3.7311597920823116e6,1865.7116733801295,1860.2304991592582,7.459394528594241e-6,8.266866336096689e-6
2129.0,3.728462680904707e6,3.703801212615223e6,1835.439662762536,1828.764328213207,7.6280411945401925e-6,8.422757169215308e-6
2159.0,3.7085942971880566e6,3.680858385563118e6,1803.7545603568014,1797.854731549678,7.780166181329882e-6,8.565921231549612e-6
2190.0,3.6953560555836246e6,3.6699227820468857e6,1768.9154185107245,1760.6742320250285,7.929164525401545e-6,8.707715860048326e-6
2221.0,3.680528088060979e6,3.6642030336448257e6,1735.9055501070322,1721.6370055515215,8.071059577136642e-6,8.844000570517616e-6
2249.0,3.6646756450217706e6,3.659057224317691e6,1708.5826086656384,1686.396870566123,8.191897322415646e-6,8.96397108112038e-6
2280.0,3.6423972613692307e6,3.6483823145098435e6,1682.1375804121346,1650.5023756949215,8.317522694804906e-6,9.091020703924515e-6
2310.0,3.618497372600254e6,3.628484682016137e6,1659.6063501763065,1622.3572825083447,8.429996831710141e-6,9.204453050718847e-6
2341.0,3.5946413224338708e6,3.6024523984790826e6,1638.17776644836,1598.9792934582367,8.536494247498816e-6,9.3094873097144e-6
2371.0,3.573625820633031e6,3.574858068161805e6,1618.2991026773527,1580.1715357391101,8.631638532894939e-6,9.400961609874986e-6
2402.0,3.5543485686713886e6,3.5468297503658147e6,1598.3232824072138,1563.08833801239,8.722675338414096e-6,9.486061792772757e-6
2433.0,3.5332952139390158e6,3.5208749707004433e6,1581.270186150213,1547.3937618463676,8.805570982423663e-6,9.56276573527975e-6
2463.0,3.518301261430005e6,3.5030227480266867e6,1563.1804576267439,1532.2754199997064,8.881466881002292e-6,9.6260709314494e-6
2494.0,3.507348686774812e6,3.488651250525173e6,1542.7127943857156,1516.168483124418,8.957373528199447e-6,9.686445964037195e-6
2524.0,3.497117213959274e6,3.4759045478859656e6,1522.8282836623891,1500.3917212721906,9.029181589749271e-6,9.742847108596267e-6
2555.0,3.484682172680584e6,3.46452102228719e6,1503.4805197813425,1483.6955977072057,9.101059231065458e-6,9.798878305278535e-6
2586.0,3.472864247379453e6,3.458439927051938e6,1484.3026830522958,1466.3399001562375,9.170244005798443e-6,9.849255214833796e-6
2614.0,3.4722081976885223e6,3.459343719249829e6,1463.7703118204831,1447.9718835529918,9.227416507463533e-6,9.893143299155682e-6
2645.0,3.4754921841092473e6,3.4608821983629954e6,1439.1369890613432,1426.0694118165507,9.289576297861808e-6,9.943990481592149e-6
2675.0,3.477746624449493e6,3.459206518151796e6,1415.5427746209905,1405.7995052001384,9.349064492013475e-6,9.993544686508398e-6
