time_days,grat_truth_day,grat_matched_day,orat_truth_day,orat_matched_day,wrat_truth_day,wrat_matched_day
31.0,699303.3915365876,700072.3129141389,3179.74589856,3179.74589856,4.337275506178466e-6,4.3158374040891815e-6
59.0,702438.9402016066,700184.6992110674,3179.74589856,3179.74589856,4.744904993200307e-6,4.745089111693255e-6
90.0,694817.7411832988,692433.0786864769,3179.74589856,3179.74589856,4.700998309021533e-6,4.727641393531863e-6
120.0,694988.5463651174,693101.9547814898,3179.74589856,3179.74589856,4.456225477607719e-6,4.507604091847048e-6
151.0,705847.6217192963,703502.2560507072,3179.74589856,3179.74589856,4.157450453959567e-6,4.220959996396799e-6
181.0,716814.9265276399,714221.200311775,3179.74589856,3179.74589856,3.857742039287659e-6,3.927538948232318e-6
212.0,721583.1355341591,719918.1887108332,3179.74589856,3179.74589856,3.526106704742628e-6,3.597739494805171e-6
243.0,721989.8858099472,720631.586314017,3179.74589856,3179.74589856,3.191720983111178e-6,3.2683324244294237e-6
273.0,723294.7879074116,722409.3920938817,3179.74589856,3179.74589856,2.8835560131854153e-6,2.965366667102476e-6
304.0,725086.752335798,725249.7603772578,3179.74589856,3179.74589856,2.545272274097202e-6,2.662124233856612e-6
334.0,726441.9602680514,727610.6390694268,3179.74589856,3179.74589856,2.2061464218641478e-6,2.3150918034656776e-6
365.0,727171.4875572101,728996.8588796216,3179.74589856,3179.74589856,1.8782876038768243e-6,1.988216952386414e-6
396.0,727282.6562528949,729363.8932039775,3179.74589856,3179.74589856,1.5591710616220053e-6,1.6739967274206476e-6
424.0,726992.0286789348,729053.7426541559,3179.74589856,3179.74589856,1.2723629858033197e-6,1.388713304931747e-6
455.0,726360.2943935486,728215.0783499127,3179.74589856,3179.74589856,9.529436918497402e-7,1.0776520152776118e-6
485.0,725591.2390133418,727162.6328425641,3179.74589856,3179.74589856,6.44635322905388e-7,7.71786607362522e-7
516.0,724737.6647593566,725995.9072186112,3179.74589856,3179.74589856,3.272977690182233e-7,4.551431458882802e-7
546.0,723924.666581088,724898.216097826,3179.74589856,3179.74589856,1.8125479141847534e-8,1.5037073980791365e-7
577.0,723144.5379415993,723863.6188372183,3179.74589856,3179.74589856,5.328394660924749e-13,4.430620587014974e-12
608.0,722448.6561918586,722959.9555467358,3179.74589856,3179.74589856,2.592450914525094e-17,1.3102684207098653e-16
638.0,721862.9100713361,722215.783183312,3179.74589856,3179.74589856,1.6582090798029232e-20,1.8165274144713458e-17
669.0,721351.457047872,721580.7642964395,3179.74589856,3179.74589856,7.491237882165296e-18,1.1040907832839755e-16
699.0,720939.73484849,721080.8638175054,3179.74589856,3179.74589856,6.372621867358673e-16,6.65099178756628e-18
730.0,720596.031751723,720672.1694180386,3179.74589856,3179.74589856,1.072945722107164e-17,0.0
761.0,720327.4547651182,720357.775970135,3179.74589856,3179.74589856,0.0,2.0295977255793585e-17
789.0,720143.1280647794,720143.0231207432,3179.74589856,3179.74589856,2.970479062538807e-18,0.0
820.0,720011.8858494919,719985.7653053073,3179.74589856,3179.74589856,6.94241684969253e-17,1.721826404891976e-20
850.0,719962.9740679549,719914.1362742103,3179.74589856,3179.74589856,1.2039770950275352e-16,9.143268994269945e-18
881.0,720023.6119050459,719949.1296720997,3179.74589856,3179.74589856,9.000926466446867e-17,4.1189825324716304e-17
911.0,720238.1888701458,720132.6681607537,3179.74589856,3179.74589856,0.0,0.0
942.0,720739.472182342,720587.3121265839,3179.74589856,3179.74589856,1.5113281589972787e-16,0.0
973.0,721719.0967385735,721505.102448826,3179.74589856,3179.74589856,0.0,0.0
1003.0,723425.4803190137,723117.3363255692,3179.74589856,3179.74589856,0.0,0.0
1034.0,726613.1795809915,726125.551668821,3179.74589856,3179.74589856,0.0,8.433885575430467e-19
1064.0,732267.6206955503,731270.9547558066,3179.74589856,3179.74589856,0.0,0.0
