time_days,grat_truth_day,grat_matched_day,orat_truth_day,orat_matched_day,wrat_truth_day,wrat_matched_day
31.0,699303.3915365876,696327.8568425165,3179.74589856,3179.74589856,4.337275506178466e-6,4.419770444080324e-6
59.0,702438.9402016066,706550.1896381122,3179.74589856,3179.74589856,4.744904993200307e-6,5.065557762170371e-6
90.0,694817.7411832988,692106.9000170934,3179.74589856,3179.74589856,4.700998309021533e-6,5.195856937103144e-6
120.0,694988.5463651174,683045.2474453684,3179.74589856,3179.74589856,4.456225477607719e-6,5.043685647922574e-6
151.0,705847.6217192963,683496.9531490322,3179.74589856,3179.74589856,4.157450453959567e-6,4.771189815047496e-6
181.0,716814.9265276399,693909.3407562714,3179.74589856,3179.74589856,3.857742039287659e-6,4.48306960727315e-6
212.0,721583.1355341591,705112.9875615631,3179.74589856,3179.74589856,3.526106704742628e-6,4.174756011730645e-6
243.0,721989.8858099472,716364.9958074853,3179.74589856,3179.74589856,3.191720983111178e-6,3.866368098489108e-6
273.0,723294.7879074116,718435.2730332336,3179.74589856,3179.74589856,2.8835560131854153e-6,3.552642462060767e-6
304.0,725086.752335798,720549.2571711342,3179.74589856,3179.74589856,2.545272274097202e-6,3.228517693943918e-6
334.0,726441.9602680514,722924.3378869238,3179.74589856,3179.74589856,2.2061464218641478e-6,2.9309710660227715e-6
365.0,727171.4875572101,725869.7266407708,3179.74589856,3179.74589856,1.8782876038768243e-6,2.6321246356261397e-6
396.0,727282.6562528949,729316.0985058025,3179.74589856,3179.74589856,1.5591710616220053e-6,2.3380317081230626e-6
424.0,726992.0286789348,732220.2484730154,3179.74589856,3179.74589856,1.2723629858033197e-6,2.037532250590174e-6
455.0,726360.2943935486,734176.1637029828,3179.74589856,3179.74589856,9.529436918497402e-7,1.7010067054929e-6
485.0,725591.2390133418,734776.8986173925,3179.74589856,3179.74589856,6.44635322905388e-7,1.3959842748948814e-6
516.0,724737.6647593566,734310.2625105709,3179.74589856,3179.74589856,3.272977690182233e-7,1.0792396639946326e-6
546.0,723924.666581088,733179.5387765709,3179.74589856,3179.74589856,1.8125479141847534e-8,7.752789997630034e-7
577.0,723144.5379415993,731617.5073497719,3179.74589856,3179.74589856,5.328394660924749e-13,4.58348816718426e-7
608.0,722448.6561918586,729912.1356999258,3179.74589856,3179.74589856,2.592450914525094e-17,1.3448505544034693e-7
638.0,721862.9100713361,728282.6183719732,3179.74589856,3179.74589856,1.6582090798029232e-20,4.133415061503025e-12
669.0,721351.457047872,726723.2826037203,3179.74589856,3179.74589856,7.491237882165296e-18,3.506607483875975e-17
699.0,720939.73484849,725380.2294797732,3179.74589856,3179.74589856,6.372621867358673e-16,0.0
730.0,720596.031751723,724190.5169462623,3179.74589856,3179.74589856,1.072945722107164e-17,3.2922099318070847e-17
761.0,720327.4547651182,723199.2353851962,3179.74589856,3179.74589856,0.0,0.0
