time_days,grat_truth_day,grat_matched_day,orat_truth_day,orat_matched_day,wrat_truth_day,wrat_matched_day
31.0,699303.3915365876,697475.5964020404,3179.74589856,3179.74589856,4.337275506178466e-6,4.38795085059509e-6
59.0,702438.9402016066,703402.9938605002,3179.74589856,3179.74589856,4.744904993200307e-6,4.9071847795518735e-6
90.0,694817.7411832988,692272.4404307605,3179.74589856,3179.74589856,4.700998309021533e-6,4.943552617429218e-6
120.0,694988.5463651174,688695.8556913948,3179.74589856,3179.74589856,4.456225477607719e-6,4.73227295282375e-6
151.0,705847.6217192963,694897.2120212299,3179.74589856,3179.74589856,4.157450453959567e-6,4.4574330136916084e-6
181.0,716814.9265276399,705354.1642003312,3179.74589856,3179.74589856,3.857742039287659e-6,4.169786170836958e-6
212.0,721583.1355341591,716557.5703284127,3179.74589856,3179.74589856,3.526106704742628e-6,3.863671197981394e-6
243.0,721989.8858099472,719583.3641746592,3179.74589856,3179.74589856,3.191720983111178e-6,3.52334001053048e-6
273.0,723294.7879074116,720351.0984153164,3179.74589856,3179.74589856,2.8835560131854153e-6,3.2100907367831152e-6
304.0,725086.752335798,722059.224917638,3179.74589856,3179.74589856,2.545272274097202e-6,2.8964037491033396e-6
334.0,726441.9602680514,724470.0244229735,3179.74589856,3179.74589856,2.2061464218641478e-6,2.5957454906832884e-6
365.0,727171.4875572101,727277.0851764708,3179.74589856,3179.74589856,1.8782876038768243e-6,2.274783677986101e-6
396.0,727282.6562528949,729341.9398304473,3179.74589856,3179.74589856,1.5591710616220053e-6,1.9257636265306643e-6
424.0,726992.0286789348,730354.111892262,3179.74589856,3179.74589856,1.2723629858033197e-6,1.6377382509863936e-6
455.0,726360.2943935486,730544.4708701727,3179.74589856,3179.74589856,9.529436918497402e-7,1.3261447359960513e-6
485.0,725591.2390133418,730081.2556151698,3179.74589856,3179.74589856,6.44635322905388e-7,1.0246974507775229e-6
516.0,724737.6647593566,729165.9917035785,3179.74589856,3179.74589856,3.272977690182233e-7,7.09528618205347e-7
546.0,723924.666581088,728064.6931467496,3179.74589856,3179.74589856,1.8125479141847534e-8,4.045945955951287e-7
577.0,723144.5379415993,726852.8077936673,3179.74589856,3179.74589856,5.328394660924749e-13,9.125495972739697e-8
608.0,722448.6561918586,725671.0060153934,3179.74589856,3179.74589856,2.592450914525094e-17,2.68996924819508e-12
638.0,721862.9100713361,724612.8693040378,3179.74589856,3179.74589856,1.6582090798029232e-20,7.961158342521605e-17
669.0,721351.457047872,723643.4176539702,3179.74589856,3179.74589856,7.491237882165296e-18,0.0
699.0,720939.73484849,722832.5246039776,3179.74589856,3179.74589856,6.372621867358673e-16,2.672975735852104e-17
730.0,720596.031751723,722130.4282259444,3179.74589856,3179.74589856,1.072945722107164e-17,0.0
761.0,720327.4547651182,721558.1140710225,3179.74589856,3179.74589856,0.0,3.99080363259416e-17
789.0,720143.1280647794,721141.7738637495,3179.74589856,3179.74589856,2.970479062538807e-18,0.0
820.0,720011.8858494919,720800.6573266458,3179.74589856,3179.74589856,6.94241684969253e-17,2.2299799046198087e-17
850.0,719962.9740679549,720587.6923424243,3179.74589856,3179.74589856,1.2039770950275352e-16,0.0
881.0,720023.6119050459,720516.0204950708,3179.74589856,3179.74589856,9.000926466446867e-17,0.0
911.0,720238.1888701458,720635.4033638361,3179.74589856,3179.74589856,0.0,3.8601149594593276e-18
942.0,720739.472182342,721076.6060400278,3179.74589856,3179.74589856,1.5113281589972787e-16,0.0
973.0,721719.0967385735,722053.8592115527,3179.74589856,3179.74589856,0.0,0.0
1003.0,723425.4803190137,723828.1233657349,3179.74589856,3179.74589856,0.0,4.374872701615717e-18
1034.0,726613.1795809915,727162.9110269502,3179.74589856,3179.74589856,0.0,7.020454973848995e-18
1064.0,732267.6206955503,733003.472626333,3179.74589856,3179.74589856,0.0,0.0
1095.0,743729.2963396559,744646.4173258898,3179.74589856,3179.74589856,2.815944669524653e-18,7.651474488300334e-18
1126.0,763749.9369152543,764837.5924011073,3179.74589856,3179.74589856,0.0,0.0
1154.0,787377.7699372503,788384.2776775036,3179.74589856,3179.74589856,0.0,0.0
1185.0,830991.1419007634,837031.6597883792,3179.74589856,3179.74589856,0.0,1.2356105036229747e-16
1215.0,874906.8142085647,888405.0550874323,3179.74589856,3179.74589856,0.0,9.189424896323921e-19
1246.0,1.0520979768635666e6,1.107904853642571e6,3179.74589856,3179.74589856,1.2071198583436026e-18,7.126267430435159e-17
1276.0,1.3393006677130351e6,1.5924194679609763e6,3179.74589856,3179.74589856,3.3679454061996896e-19,1.5208937812453866e-18
1307.0,2.214161819761661e6,2.6675862663021986e6,3179.74589856,3179.74589856,4.472919394357953e-24,8.984534027028672e-24
1338.0,2.9823140211277176e6,3.200087446330504e6,3179.74589856,3179.74589856,6.11665522841215e-29,9.456813494892898e-29
1368.0,3.280012535602033e6,3.4175800473799384e6,3179.74589856,3179.74589856,5.505031252466545e-34,7.3644613529518575e-34
1399.0,3.575430596102852e6,3.7238639865515395e6,3179.74589856,3179.74589856,3.9261766896277005e-39,4.7193172936548094e-39
1429.0,3.89241404132386e6,4.058273978832943e6,3179.74589856,3179.74589856,2.3579758294910217e-44,2.507984788350301e-44
1460.0,4.1821423334143064e6,4.351551453743092e6,3179.74589856,3179.74589856,1.0788663561679231e-49,9.852919531147978e-50
1491.0,4.430810972833338e6,4.561786729652674e6,3179.74589856,3158.9839477930213,3.7884047286095806e-55,9.348529630166708e-7
1519.0,4.530736671710065e6,4.487743262171891e6,3137.2644615097024,3047.21138817999,3.8611947730241276e-7,1.620704966103307e-6
1550.0,4.457744146469193e6,4.4398922041005865e6,3015.1630809822836,2921.8188719108634,1.1149766560707628e-6,2.224149826536449e-6
1580.0,4.4204374491066e6,4.406538959924966e6,2888.8741687076094,2801.769754640439,1.6881519902349872e-6,2.738044312161714e-6
1611.0,4.381445040790046e6,4.3620665454485165e6,2765.4131664737806,2694.848076982677,2.24683641158351e-6,3.2443683783149676e-6
1641.0,4.334866077914864e6,4.313586345803918e6,2663.954659109699,2603.244296964912,2.7548072610158732e-6,3.7084142744009513e-6
1672.0,4.283211622904588e6,4.260100428467269e6,2570.526393935444,2518.9679467877722,3.2465587526196066e-6,4.158822367903081e-6
1703.0,4.230530107532732e6,4.20652086162052e6,2485.6933346631113,2443.309598903579,3.7047828740230016e-6,4.573826701759193e-6
